cx,cy,r,area,circularity,peak_value_m,local_background_m,local_height_m,local_height_nm,local_height_A,background_inner_radius_px,background_outer_radius_px,background_pixel_count
296.0,3.0,3.9088200952233594,48.0,1.0777973539121675,1.4124552638605792e-09,3.570840428901434e-10,1.0553712209704358e-09,1.0553712209704358,10.553712209704358,3.9088200952233594,5.8632301428350395,48.0
366.0,10.0,5.382025607773058,91.0,0.8671815918119399,1.5086818461185203e-09,2.482868632913693e-10,1.260394982827151e-09,1.260394982827151,12.60394982827151,5.382025607773058,8.073038411659587,124.0
459.0,10.0,4.950743503369154,77.0,0.8593125987064043,1.5344114867588132e-09,3.9402772711305545e-10,1.1403837596457578e-09,1.1403837596457578,11.403837596457578,4.950743503369154,7.42611525505373,108.0
329.0,17.0,5.232078956954491,86.0,0.914062534460016,1.6974454064566658e-09,3.332532999555937e-10,1.364192106501072e-09,1.364192106501072,13.64192106501072,5.232078956954491,7.848118435431736,104.0
440.0,23.0,5.556622981616415,97.0,0.779021052422706,1.7347389080768494e-09,3.3830456491745764e-10,1.3964343431593917e-09,1.3964343431593917,13.964343431593917,5.556622981616415,8.334934472424623,124.0
274.0,27.0,5.890312181373172,109.0,0.8753947908667521,1.4069624354462462e-09,2.2569311697306915e-10,1.181269318473177e-09,1.181269318473177,11.81269318473177,5.890312181373172,8.835468272059758,132.0
196.0,31.0,6.407961869245868,129.0,0.8228705194602542,2.6358319971109267e-09,6.099054872255039e-10,2.025926509885423e-09,2.025926509885423,20.25926509885423,6.407961869245868,9.611942803868804,156.0
33.0,32.0,5.4115163798060095,92.0,0.8570476630485309,1.603427501883914e-09,4.3316261688630675e-10,1.1702648849976072e-09,1.1702648849976072,11.702648849976072,5.4115163798060095,8.117274569709014,116.0
77.0,29.0,3.826519928662906,46.0,1.0120226891763986,-2.1131708882737854e-10,-1.1040196534750635e-09,8.927025646476849e-10,0.8927025646476849,8.92702564647685,3.826519928662906,5.739779892994359,56.0
479.0,47.0,4.296739856991561,58.0,1.020252024276075,-8.657256023170135e-10,-1.629236856537375e-09,7.635112542203615e-10,0.7635112542203615,7.635112542203615,4.296739856991561,6.445109785487341,76.0
43.0,48.0,5.499039842323396,95.0,0.7860679962777787,2.0826163016351984e-09,4.598456199156331e-10,1.6227706817195653e-09,1.6227706817195653,16.227706817195653,5.499039842323396,8.248559763485094,124.0
319.0,48.0,5.140011726956917,83.0,0.9840486289741103,1.1908320995956956e-09,5.531605382080862e-11,1.135516045774887e-09,1.135516045774887,11.35516045774887,5.140011726956917,7.710017590435376,96.0
410.0,51.0,5.077706251929807,81.0,1.038068168883187,1.6416653592088437e-09,4.483220739093241e-10,1.1933432852995196e-09,1.1933432852995196,11.933432852995196,5.077706251929807,7.61655937789471,104.0
115.0,67.0,4.950743503369154,77.0,1.008793779750077,8.87637074953318e-10,-2.0419652080327921e-10,1.0918335957565972e-09,1.0918335957565972,10.918335957565972,4.950743503369154,7.42611525505373,108.0
216.0,75.0,5.781222885281108,105.0,0.5659626886752795,1.7227452797641263e-09,5.393056001778973e-10,1.183439679586229e-09,1.183439679586229,11.83439679586229,5.781222885281108,8.671834327921662,140.0
127.0,82.0,5.585191925620057,98.0,0.7870521972930432,1.3744970717155525e-09,2.8409682939489755e-10,1.090400242320655e-09,1.090400242320655,10.904002423206549,5.585191925620057,8.377787888430085,124.0
66.0,95.0,5.613615477764332,99.0,1.0315432992601001,1.4632770550804253e-09,2.3700351403643793e-10,1.2262735410439873e-09,1.2262735410439873,12.262735410439873,5.613615477764332,8.420423216646498,124.0
401.0,104.0,5.077706251929807,81.0,0.8910199763400904,2.545025079569996e-09,1.1277925815456058e-09,1.41723249802439e-09,1.41723249802439,14.1723249802439,5.077706251929807,7.61655937789471,104.0
503.0,106.0,5.725898905580716,103.0,0.8522631959643284,8.809763474282306e-10,-7.235175653041992e-11,9.533281039586505e-10,0.9533281039586505,9.533281039586505,5.725898905580716,8.588848358371074,132.0
175.0,111.0,2.326213245840639,17.0,1.2503645434029418,1.317388309551859e-09,7.018429726279862e-10,6.155453369238728e-10,0.6155453369238728,6.155453369238728,2.326213245840639,3.4893198687609583,16.0
365.0,115.0,5.262410103554244,87.0,0.924691168581644,1.6844297068274727e-09,7.324346129600201e-10,9.519950938674526e-10,0.9519950938674526,9.519950938674526,5.262410103554244,7.893615155331366,104.0
444.0,121.0,6.333012368467128,126.0,0.9321969195109884,2.111605335031186e-09,3.7853879752969277e-10,1.733066537501493e-09,1.733066537501493,17.33066537501493,6.333012368467128,9.499518552700692,164.0
140.0,120.0,5.753627391751592,104.0,0.8605375959251472,3.0792508542987207e-09,1.2816445682517497e-09,1.797606286046971e-09,1.797606286046971,17.97606286046971,5.753627391751592,8.630441087627387,140.0
292.0,125.0,5.4115163798060095,92.0,0.9453496097333655,1.6859341700481423e-09,6.332745161596876e-10,1.0526596538884547e-09,1.0526596538884547,10.526596538884547,5.4115163798060095,8.117274569709014,116.0
330.0,130.0,3.949327084834294,49.0,0.9009979798050608,2.073075183739448e-10,-4.784221907527808e-10,6.857297091267256e-10,0.6857297091267256,6.857297091267256,3.949327084834294,5.923990627251441,64.0
69.0,134.0,4.950743503369154,77.0,0.9466730800710611,6.616872605391677e-10,-1.9110069776617777e-10,8.527879583053455e-10,0.8527879583053455,8.527879583053455,4.950743503369154,7.42611525505373,108.0
401.0,150.0,4.3336224206596095,59.0,0.8030633177986326,6.835224053425293e-10,-7.597216467036816e-10,1.4432440520462109e-09,1.4432440520462109,14.432440520462109,4.3336224206596095,6.500433630989415,76.0
505.0,158.0,4.61809077155419,67.0,1.063091298360852,1.9635391090844223e-09,3.801151199356312e-10,1.5834239891487911e-09,1.5834239891487911,15.834239891487911,4.61809077155419,6.927136157331285,76.0
225.0,161.0,5.232078956954491,86.0,1.0089541958843917,2.0017818513906604e-09,3.841900929335562e-11,1.963362842097305e-09,1.9633628420973048,19.633628420973047,5.232078956954491,7.848118435431736,104.0
156.0,163.0,4.686510657907603,69.0,0.9391757445441636,1.915567482413394e-09,7.669772317253631e-10,1.1485902506880308e-09,1.1485902506880308,11.485902506880308,4.686510657907603,7.029765986861404,80.0
283.0,164.0,5.352372348458314,90.0,0.6725979068047865,1.479700029172193e-09,4.4092794693195714e-10,1.0387720822402358e-09,1.0387720822402358,10.387720822402358,5.352372348458314,8.02855852268747,108.0
363.0,175.0,6.128667601500942,118.0,0.9248437428655102,1.7378697370062923e-09,5.500362387778068e-10,1.1878334982284855e-09,1.1878334982284855,11.878334982284855,6.128667601500942,9.193001402251411,140.0
319.0,183.0,4.720348719413148,70.0,0.9839662434207364,1.6719747808480179e-09,4.256971164462442e-10,1.2462776644017737e-09,1.2462776644017737,12.462776644017737,4.720348719413148,7.080523079119722,92.0
191.0,195.0,4.982787485166879,78.0,0.8493740415481811,1.4298958683767182e-09,2.46343848098185e-10,1.1835520202785332e-09,1.1835520202785332,11.835520202785332,4.982787485166879,7.474181227750319,108.0
430.0,194.0,5.014626706796775,79.0,0.996927208608102,2.0190913385675913e-09,2.5711913154147226e-10,1.761972207026119e-09,1.761972207026119,17.61972207026119,5.014626706796775,7.521940060195162,96.0
209.0,203.0,5.201570947860099,85.0,0.9624603058339455,1.6514359879593599e-09,9.297616496151129e-11,1.5584598229978486e-09,1.5584598229978486,15.584598229978486,5.201570947860099,7.802356421790149,96.0
144.0,204.0,4.406461512053774,61.0,0.9447103460558762,-2.0508886255932168e-10,-9.029890168932297e-10,6.979001543339081e-10,0.6979001543339081,6.979001543339081,4.406461512053774,6.609692268080661,76.0
500.0,218.0,5.232078956954491,86.0,0.9737833682555213,6.154021736648474e-11,-1.1426402601877328e-09,1.2041804775542175e-09,1.2041804775542175,12.041804775542175,5.232078956954491,7.848118435431736,104.0
344.0,221.0,4.1841419359420025,55.0,0.8726868867141324,1.0998867372435939e-09,-6.891281989496179e-11,1.1687995571385557e-09,1.1687995571385557,11.687995571385557,4.1841419359420025,6.276212903913004,64.0
314.0,226.0,4.583497844237541,66.0,1.029396879540723,1.7633789983761972e-09,3.957767585882621e-10,1.367602239787935e-09,1.367602239787935,13.67602239787935,4.583497844237541,6.875246766356311,76.0
104.0,234.0,5.140011726956917,83.0,0.9594784761831847,1.1457681470261605e-09,1.3238988377795025e-10,1.0133782632482102e-09,1.0133782632482102,10.133782632482102,5.140011726956917,7.710017590435376,96.0
237.0,234.0,5.170882945826411,84.0,0.9055403018804473,1.53770118860308e-09,1.3758022499033018e-10,1.4001209636127498e-09,1.4001209636127498,14.001209636127498,5.170882945826411,7.7563244187396165,96.0
381.0,235.0,5.890312181373172,109.0,0.7219937204266769,2.127705123200485e-09,5.153045212757945e-10,1.6124006019246906e-09,1.6124006019246906,16.124006019246906,5.890312181373172,8.835468272059758,132.0
267.0,248.0,4.918490759365935,76.0,0.9956925618312449,1.3990277825115527e-09,3.5393525610327714e-10,1.0450925264082755e-09,1.0450925264082755,10.450925264082755,4.918490759365935,7.377736139048903,108.0
468.0,249.0,5.556622981616415,97.0,0.8802124032822497,9.395859645877636e-10,2.4361064554501155e-10,6.95975319042752e-10,0.695975319042752,6.95975319042752,5.556622981616415,8.334934472424623,124.0
88.0,252.0,5.262410103554244,87.0,0.7998655535004114,8.544573382174292e-10,1.789714279554211e-10,6.754859102620081e-10,0.6754859102620081,6.754859102620081,5.262410103554244,7.893615155331366,104.0
172.0,249.0,5.527906391541368,96.0,0.9542161702029719,2.0316961446553705e-09,6.009701347675644e-10,1.430726009887806e-09,1.430726009887806,14.30726009887806,5.527906391541368,8.291859587312052,124.0
428.0,251.0,4.918490759365935,76.0,0.9444887895305527,1.2089654832792007e-09,5.676768777274077e-10,6.41288605551793e-10,0.641288605551793,6.41288605551793,4.918490759365935,7.377736139048903,108.0
451.0,258.0,4.720348719413148,70.0,1.006946337180878,1.1284599921168592e-09,3.385856456317171e-10,7.898743464851421e-10,0.7898743464851421,7.898743464851421,4.720348719413148,7.080523079119722,92.0
