cx,cy,r,area,circularity,peak_value_m,local_background_m,local_height_m,local_height_nm,local_height_A,background_inner_radius_px,background_outer_radius_px,background_pixel_count,manual_status
25.0,142.0,4.583497844237541,66.0,0.8666679752928456,1.000777571924516e-09,3.8334167784537243e-10,6.174358940791436e-10,0.6174358940791436,6.174358940791436,4.583497844237541,6.875246766356311,76.0,false_positive
14.0,199.0,4.982787485166879,69.0,1.0,5.048327866852276e-10,1.1576165720450504e-10,3.8907112948072253e-10,0.38907112948072253,3.8907112948072253,4.982787485166879,7.474181227750319,108.0,false_positive
1.0,281.0,3.385137501286538,36.0,0.5685848446057431,7.460081996590873e-10,4.510255710576949e-11,7.009056425533178e-10,0.7009056425533178,7.009056425533178,3.385137501286538,5.077706251929807,26.0,false_positive
36.0,384.0,1.4927053303604616,7.0,1.6935030795523165,9.096277203690661e-11,-5.6746643495309e-10,6.584292069899966e-10,0.6584292069899966,6.584292069899966,1.4927053303604616,2.4927053303604616,12.0,false_positive
49.0,384.0,3.656366395715726,42.0,0.5553367566154341,1.0530647465145648e-09,3.8075577413199113e-10,6.723089723825737e-10,0.6723089723825737,6.723089723825737,3.656366395715726,5.48454959357359,52.0,false_positive
47.0,511.0,3.431831258788849,37.0,0.7063253184393231,1.0283497386964768e-09,4.06577702061206e-10,6.217720366352708e-10,0.6217720366352708,6.217720366352708,3.431831258788849,5.147746888183273,28.0,false_positive
0.0,485.0,3.0382538898732494,29.0,0.8048948076498343,1.0233450753460716e-09,3.1714178505559687e-10,7.062032902904747e-10,0.7062032902904747,7.062032902904747,3.0382538898732494,4.557380834809874,21.0,false_positive
178.0,412.0,4.918490759365935,76.0,0.7964953825070585,5.728498786439218e-10,-3.2642802350046907e-10,8.992779021443909e-10,0.8992779021443909,8.992779021443909,4.918490759365935,7.377736139048903,108.0,false_positive
