qd_number,cx,cy,r,r_A,area,area_A2,circularity,peak_value_m,local_background_m,local_height_m,local_height_nm,local_height_A,fwhm_x_px,fwhm_y_px,fwhm_px,fwhm_x_A,fwhm_y_A,fwhm_A,background_inner_radius_A,background_outer_radius_A,manual_status
,180.0,351.0,4.068428945128219,39.73075141726777,49.0,4673.004150390625,1.0,1.4665100245281337e-09,8.476081780894873e-10,6.189018464386464e-10,0.6189018464386464,6.189018464386464,3.726261995430482,2.8336626641007996,3.279962329765641,36.3892772991258,27.67248695410937,32.030882126617584,39.73075141726777,59.59612712590165,false_negative
,151.0,191.0,4.068428945128219,39.73075141726777,49.0,4673.004150390625,1.0,9.851935933724576e-10,4.203421777315697e-10,5.648514156408879e-10,0.5648514156408879,5.648514156408879,3.5223245868067554,6.081867335534383,4.802095961170569,34.39770104303472,59.39323569857796,46.89546837080634,39.73075141726777,59.59612712590165,false_negative
,209.0,125.0,4.068428945128219,39.73075141726777,49.0,4673.004150390625,1.0,1.060739607261496e-09,4.479816240188228e-10,6.127579832426733e-10,0.6127579832426733,6.127579832426733,6.6169767692481365,6.126909826784052,6.371943298016094,64.61891376218884,59.83310377718801,62.22600876968842,39.73075141726777,59.59612712590165,false_negative
,141.0,109.0,4.222008245644752,41.23054927387454,57.0,5435.943603515625,1.0,-1.6196550767233475e-09,-2.088101358488359e-09,4.684462817650115e-10,0.46844628176501146,4.684462817650115,6.540470891374532,3.0148968700689913,4.777683880721762,63.871786048579416,29.442352246767495,46.657069147673454,41.23054927387454,61.8458239108118,false_negative
,493.0,132.0,4.222008245644752,41.23054927387454,57.0,5435.943603515625,1.0,-1.7155815656977325e-09,-2.3406716564977614e-09,6.25090090800029e-10,0.625090090800029,6.25090090800029,5.969601179985808,2.51890555980472,4.244253369895264,58.29688652329891,24.59868710746797,41.44778681538344,41.23054927387454,61.8458239108118,false_negative
