qd_number,cx,cy,r,r_A,area,area_A2,circularity,peak_value_m,local_background_m,local_height_m,local_height_nm,local_height_A,background_inner_radius_px,background_outer_radius_px,background_inner_radius_A,background_outer_radius_A,background_pixel_count,manual_status,fwhm_x_px,fwhm_y_px,fwhm_px,fwhm_x_A,fwhm_y_A,fwhm_A
78.0,426.0,10.0,10.124020118074668,98.86738396557293,322.0,30708.31298828125,0.7924834981997098,5.237223099641142e-09,7.818306557716426e-10,4.455392443869499e-09,4.455392443869499,44.55392443869499,10.124020118074668,15.186030177112002,98.86738396557293,148.3010759483594,329.0,automatic,17.676201793215025,,17.676201793215025,172.61915813686548,,172.61915813686548
28.0,202.0,7.0,4.753945931439391,46.425253236712805,71.0,6771.087646484375,0.9820196398789092,1.8152819247774232e-09,5.419352466784488e-10,1.2733466780989744e-09,1.2733466780989744,12.733466780989744,4.753945931439391,7.130918897159087,46.425253236712805,69.6378798550692,92.0,automatic,5.8736841253821215,9.248692687021748,7.561188406201935,57.36019653693478,90.31926452169675,73.83973052931577
25.0,155.0,12.0,3.9088200952233594,38.17207124241562,48.0,4577.63671875,1.0560236756623294,1.4806615933338207e-09,6.289093412714664e-10,8.517522520623544e-10,0.8517522520623544,8.517522520623544,3.9088200952233594,5.8632301428350395,38.17207124241562,57.25810686362343,64.0,automatic,5.318868939508372,4.916641264038002,5.117755101773187,51.942079487386444,48.01407484412112,49.97807716575378
65.0,350.0,18.0,4.145929793656026,40.48759564117213,54.0,5149.84130859375,1.109758237513081,-3.560531036672643e-10,-1.7443382294146659e-09,1.3882851257474016e-09,1.3882851257474016,13.882851257474016,4.145929793656026,6.2188946904840385,40.48759564117213,60.73139346175819,64.0,automatic,6.267091956765865,6.014530608783181,6.140811282774523,61.202069890291654,58.73565047639825,59.96886018334495
20.0,59.0,44.0,4.982787485166879,48.660034034832805,78.0,7438.65966796875,1.0964195283831062,2.256047793025573e-09,6.031652122207021e-10,1.6528825808048708e-09,1.6528825808048708,16.52882580804871,4.982787485166879,7.474181227750319,48.660034034832805,72.9900510522492,108.0,automatic,7.054689203981825,7.470694991480418,7.262692097731121,68.89344925763501,72.95600577617596,70.92472751690548
29.0,270.0,56.0,5.440847306724618,53.1332744797326,93.0,8869.171142578125,1.0378710607752675,2.768932860774953e-09,4.748180182367889e-10,2.294114842538164e-09,2.294114842538164,22.94114842538164,5.440847306724618,8.161270960086927,53.1332744797326,79.6999117195989,116.0,automatic,8.87426826952379,10.035286108361891,9.454777188942842,86.66277606956827,98.0008409019716,92.33180848576994
27.0,192.0,61.0,4.51351666838205,44.07731121466846,64.0,6103.515625,1.0154901954491722,2.0397146194284232e-09,7.662518675122243e-10,1.273462751916199e-09,1.273462751916199,12.73462751916199,4.51351666838205,6.770275002573076,44.07731121466846,66.11596682200269,76.0,automatic,7.262180971459999,6.292073795007855,6.777127383233927,70.91973604941406,61.44603315437359,66.18288460189382
21.0,119.0,80.0,5.201570947860099,50.79659128769628,85.0,8106.231689453125,1.0339018947043142,2.5843471807007745e-09,3.779805357595478e-10,2.2063666449412267e-09,2.2063666449412267,22.063666449412267,5.201570947860099,7.802356421790149,50.79659128769628,76.19488693154443,96.0,automatic,8.493634420906973,7.098470195101125,7.796052308004049,82.94564864166966,69.32099799903443,76.13332332035205
30.0,343.0,80.0,4.787307364817192,46.751048484542885,72.0,6866.455078125,1.0963114064221524,2.2006296784837787e-09,7.85396803149041e-10,1.4152328753347376e-09,1.4152328753347376,14.152328753347376,4.787307364817192,7.180961047225788,46.751048484542885,70.12657272681433,92.0,automatic,8.674673341637227,6.812692153270175,7.743682747453701,84.71360685192604,66.53019680927906,75.62190183060255
32.0,389.0,102.0,4.720348719413148,46.09715546301903,70.0,6675.72021484375,1.0658583117993148,2.1019650464637607e-09,8.447610944095629e-10,1.2572039520541978e-09,1.2572039520541978,12.572039520541978,4.720348719413148,7.080523079119722,46.09715546301903,69.14573319452853,92.0,automatic,6.329333986005647,6.2533345521113635,6.291334269058505,61.809902207086395,61.06772023546253,61.43881122127446
19.0,29.0,107.0,2.9316150714175193,28.629053431811712,27.0,2574.920654296875,1.248478017202216,1.6604895236582706e-09,9.930284372572373e-10,6.674610864010333e-10,0.6674610864010333,6.674610864010333,2.9316150714175193,4.397422607126279,28.629053431811712,42.94358014771757,36.0,automatic,3.640838868451759,1.320742840090988,2.4807908542713735,35.55506707472421,12.897879297763554,24.226473186243883
73.0,174.0,114.0,9.885400096021595,96.5371103127109,307.0,29277.801513671875,0.9508018884349964,3.933998904415148e-09,4.950991283614314e-10,3.4388997760537166e-09,3.4388997760537166,34.388997760537166,9.885400096021595,14.828100144032392,96.5371103127109,144.80566546906633,380.0,automatic,17.816845486200677,18.032923966504125,17.924884726352403,173.99263170117848,176.10277311039184,175.04770240578517
