qd_number,cx,cy,r,r_A,area,area_A2,circularity,peak_value_m,local_background_m,local_height_m,local_height_nm,local_height_A,fwhm_x_px,fwhm_y_px,fwhm_px,fwhm_x_A,fwhm_y_A,fwhm_A,background_inner_radius_A,background_outer_radius_A,manual_status,background_inner_radius_px,background_outer_radius_px,background_pixel_count
,122.0,301.0,4.087895555871649,39.92085503780907,49.0,4673.004150390625,1.0,1.6041575845449074e-09,1.0024475693981572e-09,6.017100151467503e-10,0.6017100151467503,6.017100151467503,5.206481112846742,7.730727471192717,6.468604292019729,50.84454211764396,75.49538546086637,63.16996378925517,39.92085503780907,59.88128255671361,false_positive,,,
,124.0,302.0,3.8678889139475245,37.77235267526879,47.0,4482.269287109375,1.1096150295953902,1.7316719169713224e-09,1.1092700646919695e-09,6.224018522793529e-10,0.6224018522793529,6.2240185227935285,6.924155932604641,5.020785117697956,5.972470525151299,67.6187102793422,49.03110466501911,58.324907472180655,37.77235267526879,56.658529012903195,false_positive,3.8678889139475245,5.801833370921287,56.0
,5.0,80.0,3.5682482323055424,34.84617414360881,40.0,3814.697265625,1.1065010026804611,2.1513308912091134e-09,1.1690201029423974e-09,9.82310788266716e-10,0.9823107882667159,9.82310788266716,5.5212619894469555,3.849973708897437,4.685617849172196,53.91857411569293,37.59739950095153,45.75798680832223,34.84617414360881,52.269261215413216,false_positive,3.5682482323055424,5.352372348458314,52.0
,141.0,224.0,4.406461512053774,43.031850703650136,61.0,5817.413330078125,1.0274917859878587,1.9764019310031244e-09,5.906969358093761e-10,1.3857049951937483e-09,1.3857049951937483,13.857049951937483,5.443989113500143,7.800875831977372,6.622432472738757,53.163956186524835,76.18042804665403,64.67219211658943,43.031850703650136,64.5477760554752,false_positive,4.406461512053774,6.609692268080661,76.0
,205.0,178.0,2.9316150714175193,28.629053431811712,27.0,2574.920654296875,1.1642661024177179,-1.4979293361250257e-09,-2.2536827959385164e-09,7.557534598134907e-10,0.7557534598134907,7.557534598134907,4.421878570096089,3.3043658073323314,3.86312218871421,43.18240791109462,32.2691973372298,37.725802624162206,28.629053431811712,42.94358014771757,false_positive,2.9316150714175193,4.397422607126279,36.0
,170.0,163.0,3.3377905890622728,32.59561122131126,35.0,3337.860107421875,0.9681883773454034,8.684101771017083e-10,2.311241267816122e-10,6.372860503200961e-10,0.6372860503200961,6.372860503200961,5.526300532463151,3.1338521162387956,4.330076324350973,53.967778637335456,30.604024572644487,42.28590160498997,32.59561122131126,48.89341683196689,false_positive,3.3377905890622728,5.006685883593409,44.0
,255.0,109.0,2.7057581899030048,26.42341982327153,23.0,2193.450927734375,1.1790403893488048,1.1700647117862673e-09,4.794507568739448e-10,6.906139549123225e-10,0.6906139549123225,6.906139549123225,3.297990976618305,2.3009090674177752,2.79945002201804,32.20694313103813,22.46981511150171,27.338379121269924,26.42341982327153,39.635129734907295,false_positive,2.7057581899030048,4.058637284854507,28.0
,394.0,100.0,4.10249551392922,40.06343275321504,49.0,4673.004150390625,1.0,9.953711188614989e-10,6.394484941552037e-10,3.559226247062952e-10,0.3559226247062952,3.559226247062952,11.62096254896054,7.517660719564825,9.569311634262682,113.48596239219277,73.41465546450024,93.4503089283465,40.06343275321504,60.095149129822566,false_positive,,,
,401.0,80.0,2.393653682408596,23.375524242271442,18.0,1716.61376953125,1.3239153988972328,1.3531680220779663e-09,7.362481457828807e-10,6.169198762950856e-10,0.6169198762950856,6.169198762950856,4.388818968755662,1.1402673678838209,2.7645431683197415,42.859560241754515,11.135423514490439,26.997491878122474,23.375524242271442,35.063286363407165,false_positive,2.393653682408596,3.590480523612894,16.0
,243.0,219.0,4.753945931439391,46.425253236712805,71.0,6771.087646484375,1.1265594355764255,1.980703601134337e-09,3.1291311208825334e-10,1.6677904890460837e-09,1.6677904890460837,16.677904890460837,9.64370573847029,7.7261115426141345,8.684908640542211,94.17681385224893,75.45030803334116,84.81356094279504,46.425253236712805,69.6378798550692,false_positive,4.753945931439391,7.130918897159087,92.0
,413.0,209.0,3.5682482323055424,34.84617414360881,40.0,3814.697265625,1.1065010026804611,9.106395637559217e-10,2.404588125837215e-10,6.701807511722002e-10,0.6701807511722002,6.701807511722002,2.4666354070908643,1.3287823133632362,1.8977088602270502,24.08823639737172,12.976389778937854,18.532313088154787,34.84617414360881,52.269261215413216,false_positive,3.5682482323055424,5.352372348458314,52.0
,324.0,34.0,2.1850968611841584,21.338836535001548,15.0,1430.511474609375,1.3871977968913514,-9.968090797229934e-10,-1.596828558270147e-09,6.000194785471535e-10,0.6000194785471535,6.000194785471535,1.1702061583789307,0.8829622165689601,1.0265841874739454,11.427794515419246,8.622677896181251,10.025236205800248,21.338836535001548,32.00825480250232,false_positive,2.1850968611841584,3.2776452917762375,24.0
,325.0,2.0,3.8678889139475245,37.77235267526879,47.0,4482.269287109375,0.6590955206645996,2.9292770986621974e-10,-3.5292903322048375e-10,6.458567430867035e-10,0.6458567430867035,6.458567430867035,12.598964192518457,,12.598964192518457,123.03675969256305,,123.03675969256305,37.77235267526879,56.658529012903195,false_positive,3.8678889139475245,5.801833370921287,38.0
,262.0,446.0,3.6125759969217834,35.27906246993929,41.0,3910.064697265625,0.997411239597103,-1.101094881938991e-09,-1.7169554111795549e-09,6.158605292405639e-10,0.6158605292405639,6.158605292405639,2.3852394420908567,2.634150435353833,2.509694938722345,23.293353926668523,25.724125345252276,24.5087396359604,35.27906246993929,52.918593704908936,false_positive,3.6125759969217834,5.418863995382675,52.0
,220.0,441.0,3.656366395715726,35.706703083161386,42.0,4005.43212890625,0.5889789759130465,3.525384428826328e-10,-2.8087084047445643e-10,6.334092833570892e-10,0.6334092833570892,6.334092833570892,2.4383678072718755,6.0059793933356,4.222173600303737,23.81218561788941,58.65214251304297,41.232164065466186,35.706703083161386,53.56005462474209,false_positive,3.656366395715726,5.48454959357359,52.0
,7.0,335.0,1.4927053303604616,14.577200491801383,7.0,667.572021484375,1.6002127302753708,-8.982554283720745e-11,-7.648084388023335e-10,6.749828959651261e-10,0.6749828959651261,6.749828959651261,6.6437417435266095,0.6634636304878967,3.653602687007253,64.88029046412704,6.479137016483366,35.6797137403052,14.577200491801383,24.34282549180138,false_positive,1.4927053303604616,2.4927053303604616,12.0
,4.0,359.0,3.431831258788849,33.51397713660985,37.0,3528.594970703125,1.1741605384881055,1.3764805961713478e-09,3.493118017061647e-10,1.027168794465183e-09,1.027168794465183,10.27168794465183,6.048822512155724,5.76005880144066,5.904440656798192,59.07053234527075,56.25057423281895,57.66055328904484,33.51397713660985,50.27096570491478,false_positive,3.431831258788849,5.147746888183273,49.0
,0.0,396.0,2.5854414729132054,25.248451883918023,21.0,2002.716064453125,1.081418218471583,1.7525247919536469e-09,5.372750577770091e-10,1.2152497341766377e-09,1.2152497341766377,12.152497341766377,,4.130810714084457,4.130810714084457,,40.33994837973102,40.33994837973102,25.248451883918023,37.872677825877034,false_positive,2.5854414729132054,3.8781622093698083,13.0
,2.0,277.0,6.257165172872317,61.10512864133122,123.0,11730.194091796875,0.6259436494721529,3.298135542451064e-09,6.935418905840152e-10,2.6045936518670487e-09,2.6045936518670487,26.045936518670487,,15.794744061320994,15.794744061320994,,154.24554747383783,154.24554747383783,61.10512864133122,91.65769296199683,false_positive,6.257165172872317,9.385747759308476,95.0
