qd_number,cx,cy,r,r_A,area,area_A2,circularity,peak_value_m,local_background_m,local_height_m,local_height_nm,local_height_A,fwhm_x_px,fwhm_y_px,fwhm_px,fwhm_x_A,fwhm_y_A,fwhm_A,background_inner_radius_A,background_outer_radius_A,manual_status
,134.0,262.0,4.087895555871649,39.92085503780907,49.0,4673.004150390625,1.0,1.5067379566247041e-09,9.821992663638923e-10,5.245386902608118e-10,0.5245386902608118,5.245386902608118,5.035624425013001,5.691553096424935,5.363588760718968,49.17601977551759,55.58157320727475,52.37879649139617,39.92085503780907,59.88128255671361,false_negative
,122.0,301.0,4.087895555871649,39.92085503780907,49.0,4673.004150390625,1.0,1.6041575845449074e-09,1.0024475693981572e-09,6.017100151467503e-10,0.6017100151467503,6.017100151467503,5.206481112846742,7.730727471192717,6.468604292019729,50.84454211764396,75.49538546086637,63.16996378925517,39.92085503780907,59.88128255671361,false_negative
,125.0,302.0,4.087895555871649,39.92085503780907,49.0,4673.004150390625,1.0,1.8386715483487137e-09,1.0415617257564236e-09,7.971098225922901e-10,0.7971098225922901,7.971098225922901,6.825630851097809,4.1677355603767765,5.496683205737293,66.65655128025205,40.700542581804456,53.67854693102825,39.92085503780907,59.88128255671361,false_negative
,142.0,409.0,4.087895555871649,39.92085503780907,49.0,4673.004150390625,1.0,8.228170922386369e-10,3.0848913701309044e-10,5.143279552255464e-10,0.5143279552255464,5.143279552255464,7.905621258344816,3.5369339188951887,5.721277588620002,77.20333260102359,34.54037030171083,55.871851451367206,39.92085503780907,59.88128255671361,false_negative
,154.0,48.0,4.097628861243363,40.015906848079716,49.0,4673.004150390625,1.0,1.0063346822519748e-09,4.890905735965845e-10,5.172441086553903e-10,0.5172441086553903,5.172441086553903,4.374322047568048,1.3938538205792028,2.8840879340736256,42.717988745781724,13.611853716593778,28.16492123118775,40.015906848079716,60.02386027211958,false_negative
,394.0,100.0,4.10249551392922,40.06343275321504,49.0,4673.004150390625,1.0,9.953711188614989e-10,6.394484941552037e-10,3.559226247062952e-10,0.3559226247062952,3.559226247062952,11.62096254896054,7.517660719564825,9.569311634262682,113.48596239219277,73.41465546450024,93.4503089283465,40.06343275321504,60.095149129822566,false_negative
,244.0,221.0,4.10249551392922,40.06343275321504,49.0,4673.004150390625,1.0,1.8979726679191344e-09,5.24161519743771e-10,1.3738111481753634e-09,1.3738111481753634,13.738111481753634,7.0148326504167,6.006214453403569,6.5105235519101345,68.5042251017256,58.654438021519226,63.57933156162241,40.06343275321504,60.095149129822566,false_negative
,279.0,331.0,4.10249551392922,40.06343275321504,49.0,4673.004150390625,1.0,1.4201757547738225e-09,8.579207899650498e-10,5.622549648087727e-10,0.5622549648087727,5.622549648087727,2.92255710346371,2.684234104291919,2.8033956038778145,28.54059671351279,26.21322367472577,27.376910194119283,40.06343275321504,60.095149129822566,false_negative
,283.0,426.0,4.10249551392922,40.06343275321504,49.0,4673.004150390625,1.0,7.779039079558459e-10,1.1465985799707923e-10,6.632440499587666e-10,0.6632440499587666,6.632440499587666,5.304266084994065,4.508781828516735,4.9065239567554,51.799473486270166,44.03107254410874,47.915273015189456,40.06343275321504,60.095149129822566,false_negative
,497.0,185.0,4.126645980135551,40.299277149761245,57.0,5435.943603515625,1.0,9.000866718622547e-10,8.385017333245592e-11,8.162364985297987e-10,0.8162364985297987,8.162364985297987,5.875452102316746,4.046111832548586,4.960781967432666,57.37746193668698,39.51281086473229,48.44513640070963,40.299277149761245,60.448915724641864,false_negative
,493.0,500.0,4.126645980135551,40.299277149761245,57.0,5435.943603515625,1.0,1.2814859173815307e-09,6.291154264204124e-10,6.523704909611183e-10,0.6523704909611183,6.523704909611183,1.8655387711279268,2.3345942652484517,2.1000665181881892,18.21815206179616,22.798772121566913,20.508462091681537,40.299277149761245,60.448915724641864,false_negative
,471.0,464.0,4.126645980135551,40.299277149761245,57.0,5435.943603515625,1.0,-1.5316790891173326e-10,-2.526705650263139e-10,9.950265611458065e-11,0.09950265611458065,0.9950265611458065,0.7902205600887875,0.6696007561450461,0.7299106581169168,7.716997657117066,6.539069884228966,7.1280337706730155,40.299277149761245,60.448915724641864,false_negative
,433.0,294.0,4.126645980135551,40.299277149761245,57.0,5435.943603515625,1.0,7.750640684811572e-10,9.283964916284582e-11,6.822244193183113e-10,0.6822244193183113,6.8222441931831135,1.931744903836492,3.514588747126691,2.7231668254815915,18.864696326528243,34.322155733659095,26.593426030093667,40.299277149761245,60.448915724641864,false_negative
,364.0,190.0,4.126645980135551,40.299277149761245,57.0,5435.943603515625,1.0,-3.286792504830771e-10,-1.0135705608149692e-09,6.848913103318921e-10,0.6848913103318921,6.848913103318921,5.223424195572958,,5.223424195572958,51.01000190989217,,51.01000190989217,40.299277149761245,60.448915724641864,false_negative
