qd_number,cx,cy,r,r_A,area,area_A2,circularity,peak_value_m,local_background_m,local_height_m,local_height_nm,local_height_A,background_inner_radius_px,background_outer_radius_px,background_inner_radius_A,background_outer_radius_A,background_pixel_count,manual_status,fwhm_x_px,fwhm_y_px,fwhm_px,fwhm_x_A,fwhm_y_A,fwhm_A
,23.0,279.0,4.61809077155419,45.09854269095889,67.0,6389.617919921875,0.740125718111661,7.269314039604069e-10,9.659304259224122e-11,6.303383613681657e-10,0.6303383613681657,6.303383613681657,4.61809077155419,6.927136157331285,45.09854269095889,67.64781403643833,76.0,false_positive,6.316319884222665,1.0933792910499687,3.7048495876363168,61.682811369361964,10.677532139159851,36.180171754260904
,2.0,307.0,5.014626706796775,48.97096393356225,79.0,7534.027099609375,0.5000549810521593,1.7393214646332922e-09,5.698683469557153e-10,1.1694531176775769e-09,1.1694531176775769,11.694531176775769,5.014626706796775,7.521940060195162,48.97096393356225,73.45644590034337,62.0,false_positive,,5.380186934575907,5.380186934575907,,52.540888032967835,52.540888032967835
,1.0,365.0,4.1841419359420025,40.86076109318362,55.0,5245.208740234375,0.715912913001578,4.074300896661498e-09,1.0599886524076396e-09,3.0143122442538584e-09,3.0143122442538584,30.143122442538584,4.1841419359420025,6.276212903913004,40.86076109318362,61.29114163977543,38.0,false_positive,,6.707418453675423,6.707418453675423,,65.50213333667405,65.50213333667405
,2.0,24.0,5.108953969950291,49.892128612795815,82.0,7820.12939453125,0.7538962688164796,1.898704971026177e-09,5.183860285473685e-10,1.3803189424788087e-09,1.3803189424788087,13.803189424788087,5.108953969950291,7.6634309549254365,49.892128612795815,74.83819291919372,60.0,false_positive,,3.7463463041368144,3.7463463041368144,,36.58541312633608,36.58541312633608
,34.0,20.0,5.613615477764332,54.820463650042306,99.0,9441.375732421875,0.712054909863621,6.370244887143883e-10,-5.208387020283478e-11,6.891083589172231e-10,0.6891083589172231,6.891083589172231,5.613615477764332,8.420423216646498,54.820463650042306,82.23069547506346,124.0,false_positive,4.79512482551962,5.927433168732463,5.361278997126042,46.82739087421504,57.88508953840296,52.356240206309
,47.0,3.0,4.583497844237541,44.760721135132236,66.0,6294.25048828125,0.9128633272113805,1.3403352872032315e-09,4.165564698732638e-10,9.237788173299677e-10,0.9237788173299677,9.237788173299677,4.583497844237541,6.875246766356311,44.760721135132236,67.14108170269834,54.0,false_positive,3.516736963128798,,3.516736963128798,34.343134405554665,,34.343134405554665
,58.0,0.0,3.3377905890622728,32.59561122131126,35.0,3337.860107421875,0.8263090645923116,1.1498383356567388e-09,5.398801128375652e-10,6.099582228191736e-10,0.6099582228191736,6.099582228191736,3.3377905890622728,5.006685883593409,32.59561122131126,48.89341683196689,24.0,false_positive,3.6071313188958296,,3.6071313188958296,35.225891786092085,,35.225891786092085
,3.0,487.0,5.046265044040321,49.27993207070626,80.0,7629.39453125,0.6573545818963866,1.1296269475380427e-09,1.9819919316876877e-10,9.31427754369274e-10,0.9314277543692739,9.31427754369274,5.046265044040321,7.569397566060481,49.27993207070626,73.91989810605938,66.0,false_positive,,5.052873183934208,5.052873183934208,,49.3444646868575,49.3444646868575
,108.0,508.0,5.232078956954491,51.0945210640087,86.0,8201.59912109375,0.7205430341702567,1.0178603515598184e-09,2.9729541051182196e-10,7.205649410479964e-10,0.7205649410479964,7.205649410479964,5.232078956954491,7.848118435431736,51.0945210640087,76.64178159601305,70.0,false_positive,8.37034769165609,,8.37034769165609,81.74167667632899,,81.74167667632899
,451.0,436.0,5.944106103225343,58.04791116430999,111.0,10585.784912109375,0.9889312623841958,-1.0736203037708947e-09,-1.785536329901305e-09,7.119160261304103e-10,0.7119160261304103,7.119160261304103,5.944106103225343,8.916159154838013,58.04791116430999,87.07186674646498,132.0,false_positive,8.458278486430835,4.681007526951429,6.569643006691132,82.60037584405113,45.71296413038505,64.1566699872181
