qd_number,cx,cy,r,r_A,area,area_A2,circularity,peak_value_m,local_background_m,local_height_m,local_height_nm,local_height_A,fwhm_x_px,fwhm_y_px,fwhm_px,fwhm_x_A,fwhm_y_A,fwhm_A,background_inner_radius_A,background_outer_radius_A,manual_status
,77.0,447.0,5.725898905580716,55.91698149981168,101.0,9632.110595703125,1.0,5.945158809694817e-10,-3.910393189809902e-11,6.336198128675807e-10,0.6336198128675807,6.336198128675807,9.327087713455287,6.914149187671278,8.120618450563281,91.08484095171178,67.52098816085233,79.30291455628205,55.91698149981168,83.87547224971752,false_negative
,25.0,419.0,5.725898905580716,55.91698149981168,101.0,9632.110595703125,1.0,1.2098920754155529e-09,-1.514693023785263e-10,1.3613613777940792e-09,1.3613613777940792,13.613613777940792,5.077394339103234,5.744963398664668,5.411178868883951,49.58392909280502,56.10315819008465,52.84354364144483,55.91698149981168,83.87547224971752,false_negative
,163.0,379.0,5.725898905580716,55.91698149981168,101.0,9632.110595703125,1.0,1.8352299679946782e-09,2.4735072323700535e-10,1.5878792447576728e-09,1.5878792447576728,15.878792447576728,7.849140955219001,8.39763044162941,8.123385698424205,76.65176714081056,82.0081097815372,79.32993846117387,55.91698149981168,83.87547224971752,false_negative
,243.0,473.0,5.725898905580716,55.91698149981168,101.0,9632.110595703125,1.0,2.0832258140757176e-09,9.644441911760282e-10,1.1187816228996894e-09,1.1187816228996894,11.187816228996894,9.143740645701397,5.657338535762284,7.4005395907318405,89.29434224317771,55.24744663830355,72.27089444074063,55.91698149981168,83.87547224971752,false_negative
,209.0,500.0,5.725898905580716,55.91698149981168,101.0,9632.110595703125,1.0,9.566214487222169e-10,1.1475797742632743e-10,8.418634712958895e-10,0.8418634712958895,8.418634712958895,7.503714087645896,1.3424130292542138,4.423063558450055,73.27845788716695,13.109502238810682,43.19398006298882,55.91698149981168,83.87547224971752,false_negative
,150.0,301.0,5.725898905580716,55.91698149981168,101.0,9632.110595703125,1.0,1.7795640516737876e-09,4.281923149385136e-10,1.351371736735274e-09,1.351371736735274,13.51371736735274,5.528361985086059,6.479024608103728,6.003693296594894,53.98791001060605,63.27172468851297,58.62981734955951,55.91698149981168,83.87547224971752,false_negative
,33.0,249.0,5.725898905580716,55.91698149981168,101.0,9632.110595703125,1.0,1.4506766898847445e-09,1.8393115502890467e-10,1.2667455348558398e-09,1.2667455348558398,12.667455348558398,7.653161313769905,5.3277298261400805,6.490445569954993,74.73790345478423,52.028611583399226,63.38325751909173,55.91698149981168,83.87547224971752,false_negative
,121.0,80.0,5.725898905580716,55.91698149981168,101.0,9632.110595703125,1.0,2.3743971233614047e-09,6.375539540748321e-10,1.7368431692865727e-09,1.7368431692865727,17.368431692865727,8.77460232309367,5.072989601270251,6.923795962181961,85.68947581146163,49.5409140749048,67.61519494318321,55.91698149981168,83.87547224971752,false_negative
,180.0,106.0,5.725898905580716,55.91698149981168,101.0,9632.110595703125,1.0,2.741547655560339e-09,2.890879202688268e-10,2.4524597352915123e-09,2.4524597352915123,24.524597352915123,8.267799547244794,6.587691994267477,7.427745770756135,80.74022995356243,64.33292963151833,72.53657979254038,55.91698149981168,83.87547224971752,false_negative
,275.0,190.0,5.725898905580716,55.91698149981168,101.0,9632.110595703125,1.0,1.0740054401381371e-09,7.25147081270805e-10,3.488583588673322e-10,0.3488583588673322,3.488583588673322,2.348153814492264,19.08915445302172,10.718654133756992,22.931189594651013,186.41752395529025,104.67435677497062,55.91698149981168,83.87547224971752,false_negative
