qd_number,cx,cy,r,r_A,area,area_A2,circularity,peak_value_m,local_background_m,local_height_m,local_height_nm,local_height_A,background_inner_radius_px,background_outer_radius_px,background_inner_radius_A,background_outer_radius_A,background_pixel_count,manual_status,fwhm_x_px,fwhm_y_px,fwhm_px,fwhm_x_A,fwhm_y_A,fwhm_A
,7.0,126.0,4.54864184146723,44.420330483078416,65.0,6198.883056640625,0.5034816658534088,1.717555320190911e-09,8.952299734854563e-10,8.223253467054548e-10,0.8223253467054548,8.223253467054548,4.54864184146723,6.822962762200845,44.420330483078416,66.63049572461763,76.0,false_positive,,0.9710771395263649,0.9710771395263649,,9.483175190687158,9.483175190687158
,37.0,122.0,2.6462837142006137,25.84261439649037,22.0,2098.08349609375,1.0751416739054775,1.2520479097943849e-10,-6.117663320370781e-10,7.369711230165166e-10,0.7369711230165166,7.369711230165166,2.6462837142006137,3.9694255713009206,25.84261439649037,38.76392159473555,24.0,false_positive,8.696607008533487,1.748318598037649,5.222462803285568,84.92780281770983,17.073423808961415,51.00061331333563
,55.0,75.0,2.6462837142006137,25.84261439649037,22.0,2098.08349609375,0.8867595629174776,6.168889288282742e-10,-1.468063240417372e-10,7.636952528700114e-10,0.7636952528700114,7.636952528700114,2.6462837142006137,3.9694255713009206,25.84261439649037,38.76392159473555,24.0,false_positive,1.2628376084936228,1.1957512972331532,1.229294452863388,12.332398520445535,11.677258762042511,12.004828641244023
,70.0,1.0,4.222008245644752,41.23054927387454,56.0,5340.576171875,0.6668445796618842,8.350671820700484e-10,-3.997855554092357e-12,8.390650376241407e-10,0.8390650376241408,8.390650376241407,4.222008245644752,6.333012368467129,41.23054927387454,61.8458239108118,42.0,false_positive,2.6208128162482858,,2.6208128162482858,25.593875158674667,,25.593875158674667
,104.0,121.0,6.90988298942671,67.47932606862021,150.0,14305.11474609375,0.797147559122107,4.0886196650546935e-09,7.207743291104407e-10,3.367845335944253e-09,3.367845335944253,33.67845335944253,6.90988298942671,10.364824484140065,67.47932606862021,101.21898910293032,196.0,false_positive,8.821548165194248,9.809663071501625,9.315605618347936,86.14793130072508,95.79749093263305,90.97271111667906
,94.0,123.0,1.5957691216057308,15.583682828180965,8.0,762.939453125,2.0309803908983444,8.066897705383269e-10,1.8905566001592433e-10,6.176341105224026e-10,0.6176341105224026,6.176341105224026,1.5957691216057308,2.5957691216057306,15.583682828180965,25.34930782818096,12.0,false_positive,5.860792202694796,1.8425839419088161,3.851688072301806,57.23429885444137,17.993983807703284,37.614141331072325
,117.0,211.0,3.6125759969217834,35.27906246993929,41.0,3910.064697265625,0.8425942173710431,7.011917713128923e-10,-1.1255965604028972e-10,8.137514273531821e-10,0.8137514273531821,8.13751427353182,3.6125759969217834,5.418863995382675,35.27906246993929,52.918593704908936,52.0,false_positive,1.5486345397147367,2.5200844692648587,2.0343595044897977,15.123384176901727,24.610199895164637,19.866792036033182
,137.0,223.0,4.296739856991561,41.960350165933214,58.0,5531.31103515625,0.7842552630757553,8.640556048433723e-10,5.098966035640626e-12,8.589566388077317e-10,0.8589566388077317,8.589566388077317,4.296739856991561,6.445109785487341,41.960350165933214,62.94052524889982,76.0,false_positive,2.309503616454485,2.1623949273534198,2.2359492719039524,22.55374625443833,21.11713796243574,21.835442108437036
,166.0,241.0,1.7841241161527712,17.423087071804407,10.0,953.67431640625,1.612290114395414,5.720994233904264e-10,-3.1565351027440514e-11,6.036647744178669e-10,0.6036647744178669,6.036647744178669,1.7841241161527712,2.7841241161527712,17.423087071804407,27.188712071804407,12.0,false_positive,2.008153231062898,0.7963971136135877,1.4022751723382427,19.61087139709861,7.777315562632692,13.694093479865652
,124.0,259.0,3.6996385101659595,36.12928232583945,43.0,4100.799560546875,0.9012974065211452,4.043643198059499e-10,-2.7680420455755694e-10,6.811685243635068e-10,0.6811685243635068,6.811685243635068,3.6996385101659595,5.549457765248939,36.12928232583945,54.193923488759175,52.0,false_positive,5.688099583519811,1.2164049748362604,3.452252279178036,55.547847495310656,11.878954832385356,33.713401163848005
