qd_number,true_fwhm_nm,true_height_nm,true_fwhm_A,true_height_A
1,9.67,0.84,96.7,8.4
2,10.43,1.127,104.3,11.27
3,7.396,0.883,73.96,8.83
4,8.666,1.267,86.66,12.669999999999998
5,11.189,2.159,111.89,21.589999999999996
6,11.006,1.853,110.06,18.53
7,9.753,1.668,97.53,16.68
8,10.367,1.203,103.67000000000002,12.030000000000001
9,9.925,1.07,99.25,10.700000000000001
10,9.798,1.384,97.98,13.84
11,10.683,2.496,106.83,24.96
12,9.04,1.714,90.39999999999999,17.14
13,10.304,1.79,103.04,17.9
14,13.212,1.299,132.12,12.989999999999998
15,11.568,1.043,115.67999999999999,10.43
16,9.925,1.808,99.25,18.080000000000002
17,10.304,1.505,103.04,15.049999999999999
18,13.338,1.576,133.38,15.760000000000002
19,6.305,0.729,63.05,7.29
20,6.942,1.33,69.42,13.3
21,9.031,1.577,90.31,15.77
22,9.755,1.972,97.55000000000001,19.72
23,9.583,1.688,95.83,16.88
24,10.874,2.163,108.74000000000001,21.63
25,6.804,0.753,68.04,7.53
26,9.388,1.608,93.88,16.080000000000002
27,8.293,1.989,82.92999999999999,19.89
28,10.689,1.723,106.89,17.23
29,9.645,1.757,96.44999999999999,17.57
30,6.722,0.879,67.22,8.79
31,10.566,1.976,105.66000000000001,19.759999999999998
32,11.119,1.421,111.19,14.21
33,6.359,0.749,63.59,7.49
34,11.611,2.167,116.11000000000001,21.669999999999998
35,12.102,2.907,121.02000000000001,29.07
36,12.041,2.428,120.41,24.28
37,7.808,1.119,78.08,11.19
38,8.452,0.912,84.52,9.120000000000001
39,11.672,0.833,116.72,8.33
40,8.355,1.321,83.55000000000001,13.209999999999999
41,12.471,2.092,124.71000000000001,20.92
42,8.908,1.592,89.08,15.920000000000002
43,10.075,0.96,100.75,9.6
44,9.297,0.933,92.97,9.33
45,6.52,0.764,65.19999999999999,7.640000000000001
46,7.31,0.862,73.1,8.62
47,10.812,1.013,108.11999999999999,10.129999999999999
48,11.181,1.337,111.80999999999999,13.37
49,9.952,1.625,99.52,16.25
50,8.662,1.921,86.62,19.21
51,10.505,1.56,105.05000000000001,15.600000000000001
52,10.136,1.251,101.35999999999999,12.509999999999998
53,9.399,0.812,93.99,8.120000000000001
54,10.566,1.746,105.66000000000001,17.46
55,9.522,1.505,95.22,15.049999999999999
56,11.549,1.233,115.49,12.330000000000002
57,11.611,1.299,116.11000000000001,12.989999999999998
58,10.812,2.257,108.11999999999999,22.57
59,9.645,0.95,96.44999999999999,9.5
60,10.382,1.24,103.82,12.4
61,7.372,1.296,73.72,12.96
62,9.338,1.46,93.38,14.6
63,9.768,1.077,97.68,10.77
64,10.321,1.73,103.21,17.3
65,9.399,1.577,93.99,15.77
66,9.399,0.928,93.99,9.280000000000001
67,9.645,1.426,96.44999999999999,14.26
68,10.443,1.753,104.42999999999999,17.529999999999998
69,6.802,0.825,68.02,8.25
70,7.841,1.015,78.41,10.149999999999999
71,6.322,0.754,63.22,7.54
72,6.696,1.032,66.96,10.32
73,9.768,1.882,97.68,18.82
74,17.8985,6.554,178.98499999999999,65.54
