qd_number,true_fwhm_nm,true_height_nm,true_fwhm_A,true_height_A
1,7.37,0.775,73.7,7.75
2,8.59,0.793,85.9,7.930000000000001
3,9.14,0.942,91.4,9.42
4,7.74,0.864,77.4,8.64
5,7.61,0.967,76.10000000000001,9.67
6,8.59,0.809,85.9,8.09
7,9.28,1.633,92.8,16.33
8,9.93,0.941,99.3,9.41
9,11.7,0.834,117.0,8.34
10,9.67,0.817,96.7,8.17
11,9.23,1.56,92.30000000000001,15.600000000000001
12,9.04,1.334,90.39999999999999,13.34
13,10.24,1.055,102.4,10.549999999999999
14,9.34,1.646,93.4,16.46
15,6.83,0.908,68.3,9.08
16,7.89,1.48,78.89999999999999,14.8
17,11.562,1.459,115.61999999999999,14.59
18,9.545,1.155,95.45,11.55
19,6.827,0.788,68.27,7.880000000000001
20,7.712,0.96,77.12,9.6
21,7.369,0.843,73.69,8.43
22,9.684,0.976,96.83999999999999,9.76
23,11.45,1.488,114.5,14.879999999999999
24,10.049,1.34,100.49,13.4
25,11.815,0.853,118.14999999999999,8.53
26,9.014,1.04,90.13999999999999,10.4
27,8.587,0.893,85.87,8.93
28,8.648,0.952,86.47999999999999,9.52
29,10.576,0.938,105.76,9.379999999999999
30,9.014,1.055,90.13999999999999,10.549999999999999
31,9.866,1.29,98.66,12.9
32,10.415,1.118,104.14999999999999,11.180000000000001
33,8.77,1.586,87.69999999999999,15.860000000000001
34,7.941,1.157,79.41,11.57
35,7.103,1.062,71.03,10.620000000000001
36,9.927,1.389,99.27,13.89
37,9.501,1.977,95.00999999999999,19.77
38,9.745,1.62,97.44999999999999,16.200000000000003
39,10.049,1.609,100.49,16.09
40,10.11,1.691,101.1,16.91
41,7.224,0.914,72.24000000000001,9.14
42,7.382,0.931,73.82,9.31
43,11.145,1.724,111.44999999999999,17.24
44,8.161,1.632,81.61,16.32
45,9.257,1.116,92.57,11.16
46,12.546,1.405,125.46,14.05
47,8.938,1.02,89.38000000000001,10.2
48,10.11,1.203,101.1,12.030000000000001
49,10.354,1.421,103.53999999999999,14.21
50,7.981,0.913,79.81,9.13
51,8.77,0.965,87.69999999999999,9.65
52,11.746,1.187,117.46000000000001,11.870000000000001
53,8.766,1.261,87.66,12.61
54,7.741,1.056,77.41,10.56
55,6.13,1.127,61.3,11.27
56,6.95,1.079,69.5,10.79
57,7.02,0.878,70.19999999999999,8.78
58,7.978,1.146,79.78,11.459999999999999
59,9.44,0.715,94.39999999999999,7.1499999999999995
60,7.918,1.07,79.18,10.700000000000001
61,10.171,1.588,101.71,15.88
62,7.861,0.966,78.61,9.66
63,8.709,0.9,87.09,9.0
64,13.5,5.759,135.0,57.59
65,15.75,5.029,157.5,50.29
66,12.26,5.426,122.6,54.260000000000005
67,13.067,4.137,130.67000000000002,41.37
68,17.78,3.548,177.8,35.480000000000004
69,14.62,4.998,146.2,49.980000000000004
70,14.94,5.188,149.4,51.879999999999995
