qd_number,true_fwhm_nm,true_height_nm,true_fwhm_A,true_height_A
1,8.155,1.172,81.55,11.719999999999999
2,9.545,1.157,95.45,11.57
3,10.936,0.997,109.36,9.97
4,9.229,0.721,92.28999999999999,7.21
5,9.609,0.819,96.09,8.19
6,9.484,0.751,94.84,7.51
7,10.999,0.949,109.99000000000001,9.49
8,11.252,0.85,112.52000000000001,8.5
9,8.534,1.385,85.34,13.85
10,9.672,1.381,96.72,13.81
11,9.925,1.284,99.25,12.84
12,10.051,1.003,100.51,10.03
13,10.241,0.996,102.41,9.96
14,8.534,1.071,85.34,10.709999999999999
15,11.785,0.948,117.85,9.48
16,7.172,0.838,71.72,8.379999999999999
17,8.344,0.858,83.44,8.58
18,10.936,0.885,109.36,8.85
19,9.405,0.867,94.05,8.67
20,7.08,1.133,70.8,11.33
21,8.028,0.993,80.28,9.93
22,8.977,0.954,89.77000000000001,9.54
23,9.672,0.916,96.72,9.16
24,15.897,3.855,158.97,38.55
25,14.1055,4.681,141.055,46.81
26,14.2955,4.073,142.955,40.730000000000004
27,15.591,5.071,155.91,50.709999999999994
28,14.706,4.337,147.06,43.37
29,17.732,5.683,177.32,56.83
30,17.899,3.641,178.99,36.41
31,17.787,5.699,177.87,56.989999999999995
32,16.453,3.956,164.53,39.56
33,16.453,3.885,164.53,38.849999999999994
34,14.23,4.369,142.3,43.69
35,18.232,5.168,182.32,51.68
36,15.342,5.167,153.42000000000002,51.67
37,16.787,4.572,167.87,45.72
38,14.23,4.565,142.3,45.650000000000006
