qd_number,cx,cy,r,r_A,area,area_A2,circularity,peak_value_m,local_background_m,local_height_m,local_height_nm,local_height_A,background_inner_radius_px,background_outer_radius_px,background_inner_radius_A,background_outer_radius_A,background_pixel_count,manual_status,fwhm_x_px,fwhm_y_px,fwhm_px,fwhm_x_A,fwhm_y_A,fwhm_A
34.0,370.0,19.0,8.574939283076915,83.739641436298,231.0,22029.876708984375,0.916321231049839,3.7033776045802824e-09,8.75492595087124e-10,2.8278850094931585e-09,2.8278850094931585,28.278850094931585,8.574939283076915,12.862408924615373,83.739641436298,125.609462154447,284.0,automatic,14.513828688580624,17.66073307859166,16.087280883586143,141.73660828692016,172.4680964706217,157.10235237877092
30.0,24.0,66.0,9.83698151873187,96.06427264386592,304.0,28991.69921875,0.6684409814222562,4.141869069940185e-09,1.4680724691462643e-10,3.9950618230255586e-09,3.9950618230255586,39.950618230255586,9.83698151873187,14.755472278097805,96.06427264386592,144.09640896579887,380.0,automatic,18.087684210729826,19.281321738696658,18.68450297471324,176.63754112040846,188.29415760445954,182.46584936243397
31.0,105.0,84.0,8.058239062071396,78.69374084054097,204.0,19454.9560546875,0.9053181409863181,3.3742078020537747e-09,7.978054605839446e-10,2.57640234146983e-09,2.57640234146983,25.7640234146983,8.058239062071396,12.087358593107094,78.69374084054097,118.04061126081146,268.0,automatic,15.57575940992562,13.636723307472241,14.60624135869893,152.1070254875549,133.1711260495336,142.63907576854425
35.0,408.0,91.0,7.611333607551958,74.32942976124959,182.0,17356.87255859375,0.9443173759824106,3.829387473786028e-09,2.6814270248642913e-10,3.5612447712995987e-09,3.5612447712995987,35.61244771299599,7.611333607551958,11.417000411327937,74.32942976124959,111.49414464187439,244.0,automatic,13.344127908045023,14.408611821613714,13.876369864829368,130.31374910200216,140.70909982044643,135.5114244612243
33.0,301.0,147.0,8.703892974511014,84.99895482920913,238.0,22697.44873046875,0.9640511100106455,4.0837031534124435e-09,7.500794152459633e-10,3.33362373816648e-09,3.33362373816648,33.3362373816648,8.703892974511014,13.05583946176652,84.99895482920913,127.49843224381368,304.0,automatic,16.560862962424526,16.815548349004512,16.68820565571452,161.727177367427,164.2143393457472,162.9707583565871
32.0,206.0,154.0,9.788323438736636,95.58909608141246,301.0,28705.596923828125,0.9496047145286033,5.7417568477546865e-09,9.200002981657462e-10,4.82175654958894e-09,4.82175654958894,48.2175654958894,9.788323438736636,14.682485158104955,95.58909608141246,143.3836441221187,380.0,automatic,16.283613182814182,17.491327306969747,16.887470244891965,159.01965998841976,170.81374323212643,164.9167016102731
36.0,412.0,184.0,9.772050238058398,95.43017810603904,300.0,28610.2294921875,0.8028026472731892,5.696504601360175e-09,9.779191900705086e-10,4.718585411289666e-09,4.718585411289666,47.18585411289666,9.772050238058398,14.658075357087597,95.43017810603904,143.14526715905856,380.0,automatic,19.18826309315289,18.192222276988584,18.690242685070736,187.3853817690712,177.65842067371665,182.5219012213939
,510.0,178.0,2.256758334191025,22.03865560733423,16.0,1525.87890625,1.3414659073803088,1.197499044369721e-10,-9.143071300066197e-10,1.0340570344435918e-09,1.0340570344435918,10.340570344435918,2.256758334191025,3.385137501286538,22.03865560733423,33.057983411001345,11.0,automatic,,1.9515692496911612,1.9515692496911612,,19.058293454015246,19.058293454015246
22.0,359.0,197.0,3.742410318509555,36.54697576669488,44.0,4196.1669921875,1.1529071768572303,-2.1731795529777997e-10,-1.1327354054735395e-09,9.154174501757595e-10,0.9154174501757595,9.154174501757595,3.742410318509555,5.613615477764332,36.54697576669488,54.820463650042306,52.0,automatic,6.104836783800609,7.5234894215531565,6.814163102676883,59.61754671680282,73.47157638235504,66.54456154957893
9.0,217.0,206.0,3.6996385101659595,36.12928232583945,43.0,4100.799560546875,1.0460654464067178,1.8096194542849275e-09,8.008630980604892e-10,1.0087563562244384e-09,1.0087563562244384,10.087563562244384,3.6996385101659595,5.549457765248939,36.12928232583945,54.193923488759175,52.0,automatic,6.616501274619788,6.34371568720621,6.480108480912999,64.61427025995887,61.950348507873144,63.282309383916
20.0,53.0,249.0,3.6996385101659595,36.12928232583945,43.0,4100.799560546875,1.126704741019566,-1.1309434500006432e-09,-2.0932424682484907e-09,9.622990182478475e-10,0.9622990182478475,9.622990182478475,3.6996385101659595,5.549457765248939,36.12928232583945,54.193923488759175,52.0,automatic,6.366206062475937,5.3317279241049285,5.848966993290433,62.16998107886658,52.06765550883719,57.11881829385188
24.0,110.0,261.0,8.33015937350939,81.34921263192764,218.0,20790.10009765625,0.9500408827768042,3.6327414409953462e-09,3.849980056980229e-10,3.2477434352973233e-09,3.2477434352973233,32.47743435297323,8.33015937350939,12.495239060264087,81.34921263192764,122.02381894789147,268.0,automatic,15.394203115999613,16.347681059731524,15.870942087865568,150.3340148046837,159.64532284894068,154.9896688268122
