qd_number,cx,cy,r,r_A,area,area_A2,circularity,peak_value_m,local_background_m,local_height_m,local_height_nm,local_height_A,fwhm_x_px,fwhm_y_px,fwhm_px,fwhm_x_A,fwhm_y_A,fwhm_A,background_inner_radius_A,background_outer_radius_A,manual_status
,234.0,43.0,7.998767850296815,78.11296728805483,193.0,18405.914306640625,1.0,1.5120811269753176e-09,5.8974491956576e-10,9.223362074095576e-10,0.9223362074095576,9.223362074095576,8.071242093147596,6.884289341611765,7.477765717379681,78.8207235658945,67.2293881016774,73.02505583378594,78.11296728805483,117.16945093208226,false_negative
,204.0,73.0,7.998767850296815,78.11296728805483,193.0,18405.914306640625,1.0,1.2519362213581076e-09,3.0762246916449243e-10,9.443137521936151e-10,0.9443137521936151,9.443137521936151,10.399058936796695,6.967331168145201,8.683195052470948,101.55330992965523,68.04034343891797,84.7968266842866,78.11296728805483,117.16945093208226,false_negative
,156.0,99.0,7.998767850296815,78.11296728805483,193.0,18405.914306640625,1.0,1.1620640005816085e-09,5.776750744423964e-10,5.843889261392121e-10,0.5843889261392121,5.843889261392121,11.076940270713322,7.340015618449591,9.208477944581457,108.17324483118479,71.67984002392178,89.92654242755329,78.11296728805483,117.16945093208226,false_negative
,36.0,193.0,7.998767850296815,78.11296728805483,193.0,18405.914306640625,1.0,6.020821063934534e-10,-1.0160196989295045e-10,7.036840762864038e-10,0.7036840762864038,7.036840762864038,11.660624155854467,6.068725211369532,8.864674683612,113.87328277201628,59.26489464228059,86.56908870714844,78.11296728805483,117.16945093208226,false_negative
,62.0,198.0,7.998767850296815,78.11296728805483,193.0,18405.914306640625,1.0,8.345782398500035e-10,4.2406429756614017e-10,4.105139422838633e-10,0.4105139422838633,4.105139422838633,8.63860918376038,1.1653764730819063,4.901992828421143,84.36141781015996,11.38062961994049,47.87102371505023,78.11296728805483,117.16945093208226,false_negative
,31.0,482.0,7.998767850296815,78.11296728805483,193.0,18405.914306640625,1.0,7.919027655844957e-10,-1.8589479955366528e-10,9.77797565138161e-10,0.977797565138161,9.77797565138161,8.01670383103852,8.509798643889361,8.26325123746394,78.28812334998554,83.10350238173204,80.6958128658588,78.11296728805483,117.16945093208226,false_negative
,136.0,364.0,7.998767850296815,78.11296728805483,193.0,18405.914306640625,1.0,8.865627676435395e-10,1.970625572444984e-11,8.668565119190896e-10,0.8668565119190896,8.668565119190896,8.305719448799692,7.121571894132213,7.713645671465953,81.1105414921845,69.5466005286349,75.32857101040969,78.11296728805483,117.16945093208226,false_negative
,319.0,461.0,7.998767850296815,78.11296728805483,193.0,18405.914306640625,1.0,1.1252692111440865e-09,7.966525009117653e-11,1.04560396105291e-09,1.04560396105291,10.4560396105291,8.075184278361462,8.640210932987692,8.357697605674577,78.85922146837365,84.37705989245794,81.61814068041579,78.11296728805483,117.16945093208226,false_negative
,376.0,479.0,7.998767850296815,78.11296728805483,193.0,18405.914306640625,1.0,1.3924338349013965e-09,5.317771778479141e-10,8.606566570534824e-10,0.8606566570534824,8.606566570534824,8.143387280590247,7.692872220469678,7.918129750529962,79.52526641201413,75.1257052780242,77.32548584501916,78.11296728805483,117.16945093208226,false_negative
,413.0,276.0,7.998767850296815,78.11296728805483,193.0,18405.914306640625,1.0,7.633049192712349e-10,-1.301138086162723e-10,8.934187278875072e-10,0.8934187278875072,8.934187278875072,7.083376674741654,7.655492324401639,7.369434499571646,69.17360033927396,74.76066723048476,71.96713378487937,78.11296728805483,117.16945093208226,false_negative
,464.0,237.0,7.998767850296815,78.11296728805483,193.0,18405.914306640625,1.0,6.359159865354513e-10,-2.6458112090121944e-10,9.004971074366708e-10,0.9004971074366708,9.004971074366708,6.716014930054879,8.000998698838032,7.358506814446455,65.58608330131717,78.13475291834015,71.86041810982867,78.11296728805483,117.16945093208226,false_negative
,494.0,75.0,7.998767850296815,78.11296728805483,193.0,18405.914306640625,1.0,9.149591084778308e-10,1.6332411811870173e-10,7.516349903591291e-10,0.7516349903591291,7.516349903591291,9.444246602502087,9.975340434168341,9.709793518335214,92.22897072755944,97.41543392742521,94.82220232749232,78.11296728805483,117.16945093208226,false_negative
,337.0,20.0,7.998767850296815,78.11296728805483,193.0,18405.914306640625,1.0,9.8785235547183e-10,1.6633072696947693e-10,8.21521628502353e-10,0.821521628502353,8.21521628502353,7.10991718064486,8.80546293384621,7.957690057245535,69.43278496723497,85.99084896334189,77.71181696528842,78.11296728805483,117.16945093208226,false_negative
,238.0,293.0,7.998767850296815,78.11296728805483,193.0,18405.914306640625,1.0,-1.0477646528173068e-09,-2.0010139101245272e-09,9.532492573072204e-10,0.9532492573072204,9.532492573072204,5.9020249456827045,3.0471824897728403,4.474603717727772,57.636962360182665,29.757641501687893,43.697301930935275,78.11296728805483,117.16945093208226,false_negative
,119.0,212.0,7.998767850296815,78.11296728805483,193.0,18405.914306640625,1.0,-1.0299318065065677e-09,-2.0306246684143048e-09,1.000692861907737e-09,1.000692861907737,10.006928619077371,7.330971974554139,8.804601251088108,8.067786612821124,71.59152318900526,85.98243409265731,78.78697864083128,78.11296728805483,117.16945093208226,false_negative
,415.0,498.0,7.998767850296815,78.11296728805483,193.0,18405.914306640625,1.0,-7.988885109000421e-10,-1.6501447985817208e-09,8.512562876816787e-10,0.8512562876816787,8.512562876816787,8.58201448955581,10.391790940518327,9.486902715037068,83.80873524956846,101.48233340349928,92.64553432653388,78.11296728805483,117.16945093208226,false_negative
