cx,cy,r,area,circularity,peak_value_m,local_background_m,local_height_m,local_height_nm,local_height_A,background_inner_radius_px,background_outer_radius_px,background_pixel_count
158.0,1.0,2.6462837142006137,22.0,1.0172783843869908,1.93688931560132e-09,5.949996606524621e-10,1.341889654948858e-09,1.341889654948858,13.41889654948858,2.6462837142006137,3.9694255713009206,15.0
399.0,0.0,2.4592453796829674,19.0,1.1770161688565015,1.5467842562344458e-09,4.2839728986443504e-10,1.1183869663700108e-09,1.1183869663700108,11.183869663700108,2.4592453796829674,3.6888680695244513,13.0
479.0,8.0,4.222008245644752,56.0,0.9040765577839398,1.919687075968568e-09,4.337979142565729e-10,1.4858891617119951e-09,1.4858891617119951,14.858891617119951,4.222008245644752,6.333012368467129,72.0
41.0,7.0,3.6996385101659595,43.0,1.0460654464067183,2.027273238169869e-09,6.967914023547905e-10,1.3304818358150783e-09,1.3304818358150783,13.304818358150783,3.6996385101659595,5.549457765248939,52.0
463.0,5.0,3.0382538898732494,29.0,1.1689103329366752,1.013230388480224e-09,3.9367323290129264e-10,6.195571555789314e-10,0.6195571555789314,6.195571555789314,3.0382538898732494,4.557380834809874,40.0
307.0,10.0,3.431831258788849,37.0,1.0235134274794264,1.4061760644779042e-09,5.164525196388325e-10,8.897235448390717e-10,0.8897235448390717,8.897235448390717,3.431831258788849,5.147746888183273,52.0
230.0,10.0,4.3336224206596095,59.0,0.993803530709568,1.905754665187942e-09,4.913828233199524e-10,1.4143718418679896e-09,1.4143718418679896,14.143718418679896,4.3336224206596095,6.500433630989415,76.0
341.0,21.0,3.8678889139475245,47.0,1.034023182419364,1.4000183234941233e-09,3.160762901410763e-10,1.083942033353047e-09,1.083942033353047,10.83942033353047,3.8678889139475245,5.801833370921287,56.0
368.0,30.0,3.3377905890622728,35.0,1.0480790531023694,1.0792061688746912e-09,1.1422241971703606e-10,9.649837491576552e-10,0.9649837491576552,9.649837491576552,3.3377905890622728,5.006685883593409,44.0
150.0,42.0,3.826519928662906,46.0,0.8458348381843431,1.272731475765454e-09,1.7795250516206007e-11,1.254936225249248e-09,1.254936225249248,12.549362252492479,3.826519928662906,5.739779892994359,56.0
86.0,48.0,4.787307364817192,72.0,0.875775722573066,1.8980017557623796e-09,3.4500027834560854e-10,1.553001477416771e-09,1.553001477416771,15.53001477416771,4.787307364817192,7.180961047225788,92.0
224.0,58.0,3.6125759969217834,41.0,1.0190536939671753,1.6681156456144208e-09,3.7688149823189576e-10,1.291234147382525e-09,1.291234147382525,12.91234147382525,3.6125759969217834,5.418863995382675,52.0
504.0,59.0,4.3336224206596095,59.0,0.9938035307095683,1.956816930714922e-09,3.649014562734365e-10,1.5919154744414854e-09,1.5919154744414854,15.919154744414854,4.3336224206596095,6.500433630989415,76.0
431.0,67.0,3.0382538898732494,29.0,1.00197720430288,1.0492519075810947e-09,2.448212049754872e-10,8.044307026056075e-10,0.8044307026056075,8.044307026056075,3.0382538898732494,4.557380834809874,40.0
43.0,69.0,3.5682482323055424,40.0,0.8624193351242355,1.4765061395749512e-09,5.272851322235539e-10,9.492210073513974e-10,0.9492210073513974,9.492210073513974,3.5682482323055424,5.352372348458314,52.0
199.0,72.0,3.0901936161855166,30.0,1.0748600762636096,1.1626998253078114e-09,3.767176709468245e-10,7.859821543609868e-10,0.7859821543609868,7.859821543609868,3.0901936161855166,4.635290424278275,40.0
338.0,78.0,3.8678889139475245,47.0,0.9659006882058301,1.4876373466421455e-09,1.3834618173280688e-10,1.3492911649093386e-09,1.3492911649093386,13.492911649093386,3.8678889139475245,5.801833370921287,56.0
155.0,82.0,4.478115991081385,63.0,0.9213165736857096,1.5272089148865575e-09,1.8711136112736781e-10,1.3400975537591897e-09,1.3400975537591897,13.400975537591897,4.478115991081385,6.717173986622077,76.0
266.0,89.0,2.876813695875796,26.0,1.1211451356615063,1.0315565068808041e-09,2.7388250001258996e-10,7.576740068682142e-10,0.7576740068682142,7.576740068682142,2.876813695875796,4.315220543813694,36.0
456.0,91.0,3.2410224072142872,33.0,1.0472242640569587,1.1628259466434088e-09,2.8619755176872985e-10,8.766283948746789e-10,0.8766283948746789,8.76628394874679,3.2410224072142872,4.86153361082143,32.0
