cx,cy,r,area,circularity,peak_value_m,local_background_m,local_height_m,local_height_nm,local_height_A,background_inner_radius_px,background_outer_radius_px,background_pixel_count,manual_status
36.0,108.0,3.6125759969217834,45.0,1.0,8.18296208571212e-10,3.4797319192758636e-10,4.703230166436256e-10,0.47032301664362564,4.703230166436256,3.6125759969217834,5.418863995382675,52.0,false_negative
13.0,188.0,3.6125759969217834,45.0,1.0,6.077424119510511e-10,2.970174106664558e-10,3.1072500128459524e-10,0.31072500128459524,3.1072500128459524,3.6125759969217834,5.418863995382675,52.0,false_negative
1.0,220.0,3.6125759969217834,33.0,1.0,1.121370107881603e-09,4.643708056972784e-10,6.569993021843246e-10,0.6569993021843246,6.569993021843246,3.6125759969217834,5.418863995382675,32.0,false_negative
41.0,199.0,3.6125759969217834,45.0,1.0,8.644318039152665e-10,1.111402046782839e-10,7.532915992369826e-10,0.7532915992369826,7.532915992369826,3.6125759969217834,5.418863995382675,52.0,false_negative
46.0,293.0,3.6125759969217834,45.0,1.0,7.694733183960523e-10,2.547508592964931e-10,5.147224590995592e-10,0.5147224590995592,5.147224590995592,3.6125759969217834,5.418863995382675,52.0,false_negative
45.0,305.0,3.6125759969217834,45.0,1.0,3.7006944730855196e-10,1.410569716586707e-10,2.2901247564988125e-10,0.22901247564988125,2.2901247564988125,3.6125759969217834,5.418863995382675,52.0,false_negative
9.0,346.0,3.6125759969217834,45.0,1.0,8.871720025283025e-10,2.6000909758572277e-10,6.271629049425798e-10,0.6271629049425798,6.271629049425798,3.6125759969217834,5.418863995382675,52.0,false_negative
231.0,141.0,3.6125759969217834,45.0,1.0,6.667886243150178e-10,3.5227376571356217e-10,3.1451485860145567e-10,0.31451485860145567,3.1451485860145567,3.6125759969217834,5.418863995382675,52.0,false_negative
184.0,166.0,3.6125759969217834,45.0,1.0,5.50983481062417e-10,1.7023155107764865e-10,3.8075192998476837e-10,0.38075192998476837,3.8075192998476837,3.6125759969217834,5.418863995382675,52.0,false_negative
313.0,353.0,3.6125759969217834,45.0,1.0,1.2211931466055148e-09,6.220974568815762e-10,5.990956897239386e-10,0.5990956897239386,5.990956897239386,3.6125759969217834,5.418863995382675,52.0,false_negative
300.0,385.0,3.6125759969217834,45.0,1.0,5.516458401189084e-10,1.8016408503962467e-10,3.714817550792837e-10,0.3714817550792837,3.714817550792837,3.6125759969217834,5.418863995382675,52.0,false_negative
330.0,389.0,3.6125759969217834,45.0,1.0,4.5510153978689516e-10,1.5933371982912448e-10,2.957678199577707e-10,0.2957678199577707,2.957678199577707,3.6125759969217834,5.418863995382675,52.0,false_negative
330.0,434.0,3.6125759969217834,45.0,1.0,8.102439830182107e-10,3.2578136022198834e-10,4.844626227962223e-10,0.4844626227962223,4.844626227962223,3.6125759969217834,5.418863995382675,52.0,false_negative
322.0,483.0,3.6125759969217834,45.0,1.0,6.415050712860193e-10,1.9442732840380117e-10,4.4707774288221813e-10,0.44707774288221813,4.470777428822181,3.6125759969217834,5.418863995382675,52.0,false_negative
244.0,498.0,3.6125759969217834,45.0,1.0,5.815882775372927e-10,-7.05954426860611e-11,6.521837202233538e-10,0.6521837202233538,6.521837202233538,3.6125759969217834,5.418863995382675,52.0,false_negative
256.0,443.0,3.6125759969217834,45.0,1.0,9.469049988553024e-10,3.600981457463348e-10,5.868068531089676e-10,0.5868068531089676,5.868068531089676,3.6125759969217834,5.418863995382675,52.0,false_negative
138.0,423.0,3.6125759969217834,45.0,1.0,8.79950279308872e-10,3.13804718321542e-10,5.6614556098733e-10,0.56614556098733,5.6614556098733,3.6125759969217834,5.418863995382675,52.0,false_negative
411.0,508.0,3.6125759969217834,45.0,1.0,8.294788744755976e-10,-1.3774457702925291e-11,8.432533321785229e-10,0.8432533321785229,8.432533321785229,3.6125759969217834,5.418863995382675,40.0,false_negative
441.0,505.0,3.6125759969217834,45.0,1.0,4.5411641114156964e-10,3.2272633350427515e-11,4.2184377779114213e-10,0.4218437777911421,4.218437777911421,3.6125759969217834,5.418863995382675,52.0,false_negative
477.0,488.0,3.6125759969217834,45.0,1.0,4.545217813234359e-10,4.0593521599685545e-11,4.1392825972375036e-10,0.41392825972375036,4.139282597237504,3.6125759969217834,5.418863995382675,52.0,false_negative
471.0,444.0,3.6125759969217834,45.0,1.0,5.244754075484082e-10,-2.7829246719568435e-11,5.523046542679766e-10,0.5523046542679766,5.523046542679766,3.6125759969217834,5.418863995382675,52.0,false_negative
455.0,446.0,3.6125759969217834,45.0,1.0,4.771459893859742e-10,2.8302003102220752e-11,4.4884398628375344e-10,0.44884398628375344,4.488439862837534,3.6125759969217834,5.418863995382675,52.0,false_negative
419.0,435.0,3.6125759969217834,45.0,1.0,4.5167344864260883e-10,8.6092299955709e-11,3.6558114868689984e-10,0.36558114868689984,3.6558114868689984,3.6125759969217834,5.418863995382675,52.0,false_negative
465.0,369.0,3.6125759969217834,45.0,1.0,5.001217773248356e-10,-3.2189259938086856e-11,5.323110372629225e-10,0.5323110372629225,5.323110372629225,3.6125759969217834,5.418863995382675,52.0,false_negative
494.0,396.0,3.6125759969217834,45.0,1.0,1.924445602874414e-10,-2.1793294946448327e-10,4.1037750975192466e-10,0.41037750975192466,4.103775097519247,3.6125759969217834,5.418863995382675,52.0,false_negative
400.0,265.0,3.6125759969217834,45.0,1.0,7.074034691356701e-10,4.088714089522938e-11,6.665163282404407e-10,0.6665163282404407,6.665163282404407,3.6125759969217834,5.418863995382675,52.0,false_negative
373.0,240.0,3.6125759969217834,45.0,1.0,9.24289034198722e-10,4.2077069606349937e-10,5.035183381352226e-10,0.5035183381352226,5.035183381352226,3.6125759969217834,5.418863995382675,52.0,false_negative
366.0,297.0,3.6125759969217834,45.0,1.0,7.12821635051597e-10,2.196385712194271e-10,4.931830638321699e-10,0.4931830638321699,4.931830638321699,3.6125759969217834,5.418863995382675,52.0,false_negative
241.0,276.0,3.6125759969217834,45.0,1.0,5.218240839433008e-10,-9.406216777696486e-11,6.158862517202657e-10,0.6158862517202657,6.158862517202657,3.6125759969217834,5.418863995382675,52.0,false_negative
268.0,273.0,3.6125759969217834,45.0,1.0,3.47908951647824e-10,2.3286779449183115e-10,1.1504115715599283e-10,0.11504115715599283,1.1504115715599283,3.6125759969217834,5.418863995382675,52.0,false_negative
247.0,242.0,3.6125759969217834,45.0,1.0,3.7834591015695196e-10,-1.63668037456155e-10,5.42013947613107e-10,0.542013947613107,5.4201394761310695,3.6125759969217834,5.418863995382675,52.0,false_negative
265.0,222.0,3.6125759969217834,45.0,1.0,3.7144845532743886e-10,-2.2521167569733436e-10,5.966601310247732e-10,0.5966601310247732,5.966601310247732,3.6125759969217834,5.418863995382675,52.0,false_negative
205.0,242.0,3.6125759969217834,45.0,1.0,7.129241086367699e-10,1.973212149231074e-10,5.156028937136625e-10,0.5156028937136625,5.156028937136625,3.6125759969217834,5.418863995382675,52.0,false_negative
233.0,202.0,3.6125759969217834,45.0,1.0,7.637008248018162e-10,1.779602437634864e-10,5.857405810383298e-10,0.5857405810383298,5.857405810383298,3.6125759969217834,5.418863995382675,52.0,false_negative
461.0,211.0,3.6125759969217834,45.0,1.0,9.251441834834395e-10,2.4487809002771144e-10,6.802660934557281e-10,0.6802660934557281,6.802660934557281,3.6125759969217834,5.418863995382675,52.0,false_negative
461.0,153.0,3.6125759969217834,45.0,1.0,9.778139409277742e-10,3.03708697080296e-10,6.741052438474782e-10,0.6741052438474782,6.741052438474782,3.6125759969217834,5.418863995382675,52.0,false_negative
495.0,166.0,3.6125759969217834,45.0,1.0,9.609116835562759e-10,3.331619563562427e-10,6.277497272000332e-10,0.6277497272000332,6.277497272000332,3.6125759969217834,5.418863995382675,52.0,false_negative
456.0,172.0,3.6125759969217834,45.0,1.0,4.761237515360506e-10,-9.488341362606789e-11,5.710071651621185e-10,0.5710071651621185,5.710071651621185,3.6125759969217834,5.418863995382675,52.0,false_negative
74.0,88.0,3.6125759969217834,45.0,1.0,4.616983739769154e-10,1.0762618921078548e-10,3.540721847661299e-10,0.3540721847661299,3.540721847661299,3.6125759969217834,5.418863995382675,52.0,false_negative
207.0,49.0,3.6125759969217834,45.0,1.0,3.9268766016675727e-10,-6.718159232046994e-12,3.9940581939880426e-10,0.39940581939880426,3.9940581939880424,3.6125759969217834,5.418863995382675,52.0,false_negative
201.0,93.0,3.6125759969217834,45.0,1.0,5.057367857830286e-10,2.3018359787685405e-11,4.827184259953432e-10,0.4827184259953432,4.827184259953432,3.6125759969217834,5.418863995382675,52.0,false_negative
244.0,86.0,3.6125759969217834,45.0,1.0,9.113200194477145e-10,2.8271195107176794e-10,6.286080683759465e-10,0.6286080683759465,6.286080683759465,3.6125759969217834,5.418863995382675,52.0,false_negative
264.0,21.0,3.6125759969217834,45.0,1.0,1.021277729051917e-09,3.607908832803375e-10,6.604868457715796e-10,0.6604868457715796,6.604868457715796,3.6125759969217834,5.418863995382675,52.0,false_negative
341.0,46.0,3.6125759969217834,45.0,1.0,6.904103400096062e-10,1.3678753962853563e-10,5.536228003810706e-10,0.5536228003810706,5.536228003810706,3.6125759969217834,5.418863995382675,52.0,false_negative
1.0,312.0,3.6125759969217834,33.0,1.0,9.52329548553621e-10,2.72360592412646e-10,6.79968956140975e-10,0.679968956140975,6.79968956140975,3.6125759969217834,5.418863995382675,32.0,false_negative
25.0,341.0,3.6125759969217834,45.0,1.0,5.745048881067305e-10,2.0640741893451775e-10,3.6809746917221275e-10,0.36809746917221275,3.6809746917221275,3.6125759969217834,5.418863995382675,52.0,false_negative
22.0,442.0,3.6125759969217834,45.0,1.0,7.036164983986737e-10,1.308062130833676e-10,5.728102853153061e-10,0.5728102853153061,5.728102853153061,3.6125759969217834,5.418863995382675,52.0,false_negative
0.0,465.0,3.6125759969217834,26.0,1.0,9.691546454249078e-10,3.7254840878908624e-10,5.966062366358216e-10,0.5966062366358216,5.966062366358216,3.6125759969217834,5.418863995382675,28.0,false_negative
474.0,268.0,3.6125759969217834,45.0,1.0,1.5957588028747693e-10,-2.5926495672567995e-10,4.188408370131569e-10,0.4188408370131569,4.188408370131569,3.6125759969217834,5.418863995382675,52.0,false_negative
497.0,268.0,3.6125759969217834,45.0,1.0,2.907556695408431e-10,-1.0484266232957395e-10,3.9559833187041704e-10,0.39559833187041704,3.9559833187041704,3.6125759969217834,5.418863995382675,52.0,false_negative
